assetId;assetName;
BTC-USD;Bitcoin USD;
ETH-USD;Ethereum USD;
BNB-USD;BinanceCoin USD;
USDT-USD;Tether USD;
SOL1-USD;Solana USD;
ADA-USD;Cardano USD;
XRP-USD;XRP USD;
USDC-USD;USDCoin USD;
DOT1-USD;Polkadot USD;
HEX-USD;HEX USD;
DOGE-USD;Dogecoin USD;
AVAX-USD;Avalanche USD;
SHIB-USD;SHIBA INU USD;
CRO-USD;CryptocomCoin USD;
LUNA1-USD;LUNA1-USD;
LTC-USD;Litecoin USD;
UNI3-USD;Uniswap USD;
MATIC-USD;MaticNetwork USD;
LINK-USD;Chainlink USD;
BCH-USD;BitcoinCash USD;
ALGO-USD;Algorand USD;
MANA-USD;Decentraland USD;
XLM-USD;Stellar USD;
EGLD-USD;Elrond USD;
AXS-USD;AxieInfinity USD;
VET-USD;VeChain USD;
ICP1-USD;InternetComputer USD;
FIL-USD;FilecoinFutures USD;
FTT1-USD;FTXToken USD;
TRX-USD;TRON USD;
THETA-USD;THETA USD;
DAI1-USD;Dai USD;
SAND-USD;TheSandbox USD;
ETC-USD;EthereumClassic USD;
ATOM1-USD;Cosmos USD;
HBAR-USD;HederaHashgraph USD;
FTM-USD;Fantom USD;
HNT1-USD;Helium USD;
GRT2-USD;TheGraph USD;
XTZ-USD;Tezos USD;
XMR-USD;Monero USD;
LRC-USD;Loopring USD;
MIOTA-USD;IOTA USD;
EOS-USD;EOS USD;
FLOW1-USD;FlowDapperLabs USD;
ENJ-USD;EnjinCoin USD;
ZEC-USD;Zcash USD;
CAKE-USD;PancakeSwap USD;
AAVE-USD;Aave USD;
MKR-USD;Maker USD;
RUNE-USD;THORChain USD;
ONE2-USD;Harmony USD;
KDA-USD;Kadena USD;
BSV-USD;BitcoinSV USD;
KSM-USD;Kusama USD;
CHZ-USD;Chiliz USD;
NEO-USD;NEO USD;
QNT-USD;Quant USD;
AMP1-USD;Amp USD;
STX1-USD;Stacks USD;
CRV-USD;CurveDAOToken USD;
HOT1-USD;Holo USD;
WAVES-USD;Waves USD;
BAT-USD;BasicAttentionToken USD;
BTT1-USD;BitTorrent USD;
DASH-USD;Dash USD;
AR-USD;Arweave USD;
CELO-USD;Celo USD;
TFUEL-USD;ThetaFuel USD;
COMP-USD;Compound USD;
IOTX-USD;IoTeX USD;
XEM-USD;NEM USD;
QTUM-USD;Qtum USD;
WAXP-USD;WAX USD;
TUSD-USD;TrueUSD USD;
DCR-USD;Decred USD;
ZEN-USD;Horizen USD;
CTC1-USD;Creditcoin USD;
ANKR-USD;Ankr USD;
ICX-USD;ICON USD;
XDC-USD;XinFinNetwork USD;
SC-USD;Siacoin USD;
ROSE-USD;OasisNetwork USD;
OMG-USD;OmiseGO USD;
VGX-USD;VoyagerToken USD;
YFI-USD;yearnfinance USD;
RVN-USD;Ravencoin USD;
ZIL-USD;Zilliqa USD;
OMI-USD;ECOMI USD;
BTG-USD;BitcoinGold USD;
STORJ-USD;Storj USD;
CEL-USD;Celsius USD;
ZRX-USD;0x USD;
CCXX-USD;CounosX USD;
BNT-USD;Bancor USD;
SUSHI-USD;Sushi USD;
UMA-USD;UMA USD;
DFI-USD;DeFiChain USD;
SNX-USD;SynthetixNetworkToken USD;
VLX-USD;Velas USD;
