marketBeat;assetId;buyQuote;sellQuote;reportedDate;pollTime;pollDate
21;AGRO.BA;65;65;2022-09-26 14:12:38;1664213730;2022-09-26 14:35:30
21;BHIP.BA;11.25;11.25;2022-09-26 13:27:35;1664213730;2022-09-26 14:35:30
21;BOLT.BA;5.18;5.18;2022-09-26 14:15:07;1664213730;2022-09-26 14:35:30
21;BPAT.BA;111.25;111.25;2022-09-26 12:57:34;1664213730;2022-09-26 14:35:30
21;CADO.BA;49.2;49.2;2022-09-23 16:44:03;1664213730;2022-09-26 14:35:30
21;CAPX.BA;670;670;2022-09-26 14:09:06;1664213730;2022-09-26 14:35:30
21;CARC.BA;2.41;2.41;2022-09-26 14:14:13;1664213730;2022-09-26 14:35:30
21;CECO2.BA;55.4;55.4;2022-09-26 13:40:37;1664213730;2022-09-26 14:35:30
21;CELU.BA;74.6;74.6;2022-09-26 13:16:56;1664213730;2022-09-26 14:35:30
21;CGPA2.BA;99;99;2022-09-26 14:06:00;1664213730;2022-09-26 14:35:30
21;CTIO.BA;290;290;2022-09-26 12:40:17;1664213730;2022-09-26 14:35:30
21;DGCU2.BA;83.7;83.7;2022-09-26 13:01:26;1664213730;2022-09-26 14:35:30
21;DOME.BA;16.5;16.5;2022-09-12 13:00:25;1664213730;2022-09-26 14:35:30
21;DYCA.BA;105;105;2022-09-22 16:35:23;1664213730;2022-09-26 14:35:30
21;FERR.BA;17.95;17.95;2022-09-26 13:54:29;1664213730;2022-09-26 14:35:30
21;FIPL.BA;24.8;24.8;2022-09-23 14:40:53;1664213730;2022-09-26 14:35:30
21;GAMI.BA;81.5;81.5;2022-09-26 13:06:12;1664213730;2022-09-26 14:35:30
21;GARO.BA;40;40;2022-09-26 14:14:08;1664213730;2022-09-26 14:35:30
21;GBAN.BA;134;134;2022-09-26 12:09:32;1664213730;2022-09-26 14:35:30
21;GCLA.BA;205.5;205.5;2022-09-26 13:32:58;1664213730;2022-09-26 14:35:30
21;GRIM.BA;160;160;2022-09-23 14:56:09;1664213730;2022-09-26 14:35:30
21;HARG.BA;209.5;209.5;2022-09-26 14:11:38;1664213730;2022-09-26 14:35:30
21;HAVA.BA;345;345;2022-09-26 13:50:07;1664213730;2022-09-26 14:35:30
21;INTR.BA;28;28;2022-09-22 15:01:02;1664213730;2022-09-26 14:35:30
21;INVJ.BA;27;27;2022-09-26 12:56:37;1664213730;2022-09-26 14:35:30
21;IRCP.BA;128.9;128.9;2022-05-24 16:53:48;1664213730;2022-09-26 14:35:30
21;IRSA.BA;113;113;2022-09-26 14:15:12;1664213730;2022-09-26 14:35:30
21;LEDE.BA;131.25;131.25;2022-09-26 13:32:37;1664213730;2022-09-26 14:35:30
21;LONG.BA;15.6;15.6;2022-09-26 14:07:23;1664213730;2022-09-26 14:35:30
21;METR.BA;64.1;64.1;2022-09-26 13:55:03;1664213730;2022-09-26 14:35:30
21;MOLA.BA;2820;2820;2022-09-26 14:10:20;1664213730;2022-09-26 14:35:30
21;MOLI.BA;175;175;2022-09-26 14:15:30;1664213730;2022-09-26 14:35:30
21;MORI.BA;16.35;16.35;2022-09-26 14:11:11;1664213730;2022-09-26 14:35:30
21;OEST.BA;64;64;2022-09-26 12:53:09;1664213730;2022-09-26 14:35:30
21;PATA.BA;70;70;2022-09-26 12:39:18;1664213730;2022-09-26 14:35:30
21;RICH.BA;281;281;2022-09-26 12:18:35;1664213730;2022-09-26 14:35:30
21;RIGO.BA;300;300;2022-09-23 15:51:50;1664213730;2022-09-26 14:35:30
21;SAMI.BA;121;121;2022-09-26 14:11:29;1664213730;2022-09-26 14:35:30
21;SEMI.BA;10.5;10.5;2022-09-26 14:03:40;1664213730;2022-09-26 14:35:30
21;TGLT.BA;5.18;5.18;2022-09-26 14:04:20;1664213730;2022-09-26 14:35:30
