marketBeat;assetId;buyQuote;sellQuote;reportedDate;pollTime;pollDate
24;ALUA.BA;135.5;135.5;2022-09-26 14:15:03;1664213714;2022-09-26 14:35:14
24;BBAR.BA;305;305;2022-09-26 14:14:46;1664213714;2022-09-26 14:35:14
24;BMA.BA;467;467;2022-09-26 14:15:14;1664213714;2022-09-26 14:35:14
24;BYMA.BA;188;188;2022-09-26 14:12:31;1664213714;2022-09-26 14:35:14
24;CEPU.BA;127.6;127.6;2022-09-26 14:12:04;1664213714;2022-09-26 14:35:14
24;COME.BA;14.2;14.2;2022-09-26 14:15:05;1664213714;2022-09-26 14:35:14
24;CRES.BA;166.6;166.6;2022-09-26 14:15:08;1664213714;2022-09-26 14:35:14
24;CVH.BA;710;710;2022-09-26 14:11:43;1664213714;2022-09-26 14:35:14
24;EDN.BA;89.9;89.9;2022-09-26 14:08:47;1664213714;2022-09-26 14:35:14
24;GGAL.BA;246.5;246.5;2022-09-26 14:15:12;1664213714;2022-09-26 14:35:14
24;LOMA.BA;369;369;2022-09-26 14:10:38;1664213714;2022-09-26 14:35:14
24;MIRG.BA;3703;3703;2022-09-26 14:11:18;1664213714;2022-09-26 14:35:14
24;PAMP.BA;278.8;278.8;2022-09-26 14:14:44;1664213714;2022-09-26 14:35:14
24;SUPV.BA;108;108;2022-09-26 14:13:13;1664213714;2022-09-26 14:35:14
24;TECO2.BA;245.75;245.75;2022-09-26 14:15:12;1664213714;2022-09-26 14:35:14
24;TGNO4.BA;151;151;2022-09-26 14:13:08;1664213714;2022-09-26 14:35:14
24;TGSU2.BA;426.5;426.5;2022-09-26 14:14:07;1664213714;2022-09-26 14:35:14
24;TRAN.BA;90;90;2022-09-26 14:11:31;1664213714;2022-09-26 14:35:14
24;TXAR.BA;163.5;163.5;2022-09-26 14:14:35;1664213714;2022-09-26 14:35:14
24;VALO.BA;63.5;63.5;2022-09-26 14:02:39;1664213714;2022-09-26 14:35:14
24;YPFD.BA;1937.5;1937.5;2022-09-26 14:15:13;1664213714;2022-09-26 14:35:14
