assetId;assetName;
MMM;;
ABT;;
ACN;;
ALL;;
GOOG;;
MO;;
AMZN;;
AEP;;
AXP;;
AIG;;
AMGN;;
AAPL;;
T;;
BAC;;
BK;;
BAX;;
BRK-B;;
BLK;;
BA;;
BMY;;
COF;;
CAT;;
CHTR;;
CVX;;
CSCO;;
C;;
KO;;
CL;;
CMCSA;;
COP;;
COST;;
CVS;;
DHR;;
DVN;;
DUK;;
EBAY;;
EMR;;
EXC;;
XOM;;
FB;;
FDX;;
F;;
FCX;;
GD;;
GE;;
GILD;;
GS;;
HAL;;
HD;;
HON;;
HPQ;;
INTC;;
IBM;;
JNJ;;
JPM;;
LLY;;
LMT;;
LOW;;
MA;;
MCD;;
MDT;;
MRK;;
MET;;
MSFT;;
MDLZ;;
MS;;
NWSA;;
NKE;;
NSC;;
NOV;;
OXY;;
ORCL;;
PEP;;
PFE;;
PM;;
PG;;
QCOM;;
RTX;;
SLB;;
SPG;;
SO;;
SBUX;;
TGT;;
TXN;;
UNP;;
UNH;;
UPS;;
USB;;
VZ;;
V;;
WBA;;
WMT;;
WFC;;
WMB;;
