assetId;assetName;
ZARUSD=X;;
TRYUSD=X;;
MXNUSD=X;;
PLNUSD=X;;
SEKUSD=X;;
SGDUSD=X;;
DKKUSD=X;;
NOKUSD=X;;
ILSUSD=X;;
HUFUSD=X;;
CZKUSD=X;;
THBUSD=X;;
AEDUSD=X;;
JODUSD=X;;
KWDUSD=X;;
HKDUSD=X;;
SARUSD=X;;
INRUSD=X;;
KRWUSD=X;;
ALLUSD=X;;
AMDUSD=X;;
ANGUSD=X;;
ARSUSD=X;;
AUDUSD=X;;
BBDUSD=X;;
BDTUSD=X;;
BGNUSD=X;;
BHDUSD=X;;
BIFUSD=X;;
BNDUSD=X;;
BOBUSD=X;;
BRLUSD=X;;
BSDUSD=X;;
BWPUSD=X;;
BZDUSD=X;;
CLPUSD=X;;
CNYUSD=X;;
COPUSD=X;;
CRCUSD=X;;
CUPUSD=X;;
DJFUSD=X;;
DOPUSD=X;;
DZDUSD=X;;
EGPUSD=X;;
ETBUSD=X;;
EURUSD=X;;
FJDUSD=X;;
GBPUSD=X;;
GELUSD=X;;
GHSUSD=X;;
GMDUSD=X;;
GNFUSD=X;;
GTQUSD=X;;
HNLUSD=X;;
HRKUSD=X;;
HTGUSD=X;;
IDRUSD=X;;
IQDUSD=X;;
IRRUSD=X;;
ISKUSD=X;;
JMDUSD=X;;
KESUSD=X;;
KHRUSD=X;;
KMFUSD=X;;
KZTUSD=X;;
LAKUSD=X;;
LBPUSD=X;;
LKRUSD=X;;
LSLUSD=X;;
LYDUSD=X;;
MADUSD=X;;
MDLUSD=X;;
MGAUSD=X;;
MKDUSD=X;;
MMKUSD=X;;
MOPUSD=X;;
MROUSD=X;;
MURUSD=X;;
MVRUSD=X;;
MWKUSD=X;;
MYRUSD=X;;
NADUSD=X;;
NGNUSD=X;;
NIOUSD=X;;
NPRUSD=X;;
NZDUSD=X;;
OMRUSD=X;;
PABUSD=X;;
PENUSD=X;;
PGKUSD=X;;
PHPUSD=X;;
PKRUSD=X;;
PYGUSD=X;;
QARUSD=X;;
RONUSD=X;;
RSDUSD=X;;
RUBUSD=X;;
RWFUSD=X;;
SCRUSD=X;;
SDGUSD=X;;
SOSUSD=X;;
STDUSD=X;;
SVCUSD=X;;
SYPUSD=X;;
SZLUSD=X;;
TNDUSD=X;;
TTDUSD=X;;
TWDUSD=X;;
TZSUSD=X;;
UAHUSD=X;;
UGXUSD=X;;
UYUUSD=X;;
UZSUSD=X;;
VESUSD=X;;
VNDUSD=X;;
VUVUSD=X;;
XAFUSD=X;;
XCDUSD=X;;
XOFUSD=X;;
XPFUSD=X;;
YERUSD=X;;
ZMKUSD=X;;
